countryName,CODE,confirmed,deaths,recovered
Afghanistan,AFG,52330,2189,41727
Albania,ALB,58316,1181,33634
Algeria,DZA,99610,2756,67127
Andorra,AND,8049,84,7432
Angola,AGO,17553,405,11044
Antarctica,ATA,0,0,0
Antigua and Barbuda,ATG,159,5,148
Argentina,ARG,1625514,43245,1426676
Armenia,ARM,159409,2823,142801
Australia,AUS,28425,909,22565
Austria,AUT,360815,6222,332952
Azerbaijan,AZE,218700,2641,184422
Bahamas,BHS,7871,170,6230
Bahrain,BHR,92675,352,90217
Bangladesh,BGD,513510,7559,457459
Barbados,BRB,383,7,319
Belarus,BLR,194284,1424,175147
Belgium,BEL,646496,19528,0
Belize,BLZ,10776,248,9795
Benin,BEN,3251,44,3061
Bhutan,BTN,670,0,448
Bolivia,BOL,160124,9165,132097
Bosnia and Herzegovina,BIH,110985,4050,77225
Botswana,BWA,14805,42,12136
Brazil,BRA,7681032,195072,6848844
Brunei,BRN,157,3,149
Bulgaria,BGR,202266,7576,119527
Burkina Faso,BFA,6707,85,5100
Burma,MMR,124630,2682,107069
Burundi,BDI,818,2,687
Cambodia,CMR,378,0,362
Cameroon,CAN,26277,448,24892
Canada,CPV,590249,16685,493638
Capo Verde,KHM,11840,113,11559
Central African Republic,CAF,4963,63,1924
Chad,TCD,2113,104,1704
Chile,CHL,608973,16608,577382
China,CHN,102571,4782,89923
Colombia,COL,1642775,43213,1508419
Comoros,COM,823,10,705
Congo,COG,7107,108,5846
Costa Rica,CRI,169321,2185,131923
Cote d'Ivoire,CIV,22490,137,21934
Croatia,HRV,210837,3920,198018
Cuba,CUB,11863,146,10125
Cyprus,CYP,22346,120,2057
Czechia,CZE,718661,11580,592581
Denmark,DNK,164116,1298,127844
Diamond Princess,DJI,712,13,699
Djibouti,DMA,5831,61,5728
Dominica,DOM,88,0,83
Ecuador,ECU,212512,14034,184507
Egypt,EGY,138062,7631,112105
El Salvador,SLV,46242,1327,45960
Equatorial Guinea,GNQ,5277,86,5136
Eritrea,ERI,1320,3,643
Estonia,EST,27990,229,18326
Ethiopia,ETH,124264,1923,112096
Fiji,FJI,49,2,44
Finland,FIN,36422,592,29000
France,FRA,2677660,64758,200142
Gabon,GAB,9571,64,9388
Gambia,GMB,3797,124,3664
Georgia,GEO,227420,2505,211727
Germany,DEU,1719737,33071,1350708
Ghana,GHA,54771,335,53594
Greece,GRC,138850,4838,93764
Grenada,GRD,127,0,107
Guatemala,GTM,138012,4813,126028
Guinea,GIN,13722,81,13141
Guinea-Bissau,GNB,2452,45,2397
Guyana,GUY,6332,164,5820
Haiti,HTI,9999,236,8624
Holy See,VAT,27,0,15
Honduras,HND,121827,3130,56694
Hungary,HUN,322514,9537,150102
Iceland,ISL,5754,29,5578
India,IND,10286709,148994,9883461
Indonesia,IDN,743198,22138,611097
Iran,IRN,1225142,55223,988833
Iraq,IRQ,595291,12813,537841
Ireland,IRL,91779,2237,23364
Israel,ISR,423262,3325,376322
Italy,ITA,2107166,74159,1463111
Jamaica,JAM,12827,302,10383
Japan,JPN,235749,3492,191295
Jordan,JOR,294494,3834,270551
Kazakhstan,KAZ,201196,2749,175558
Kenya,KEN,96458,1670,78737
Kiribati,KIR,0,0,0
Kuwait,KWT,150584,934,146517
Kyrgyzstan,KGZ,81034,1355,75918
Laos,LAO,41,0,40
Latvia,LVA,40904,635,27113
Lebanon,LBN,181503,1468,127959
Lesotho,LSO,3094,51,1480
Liberia,LBR,1800,83,1406
Libya,LBY,100277,1478,72107
Liechtenstein,LIE,2221,44,1810
Lithuania,LTU,141955,1796,96800
Luxembourg,LUX,46415,495,40978
Madagascar,MDG,17714,261,17228
Malawi,MWI,6583,189,5705
Malaysia,MYS,113010,471,88940
Maldives,MDV,13757,48,13141
Mali,MLI,7090,269,4650
Malta,MLT,12774,219,11121
Marshall Islands,MHL,4,0,4
Mauritania,MRT,14364,347,11380
Mauritius,MUS,527,10,496
Mexico,MEX,1426094,125807,1074795
Micronesia, Federated States of,0,0,0
Monaco,MCO,875,3,708
Mongolia,MNG,1195,1,837
Montenegro,MNE,48247,682,38580
Morocco,MAR,439193,7388,407504
Mozambique,MOZ,18642,166,16663
Namibia,NAM,23941,205,20076
Nepal,NPL,260593,1856,252359
Netherlands,NLD,816565,11525,9585
New Zealand,NZL,2162,25,2082
Nicaragua,NIC,6046,165,4225
Niger,NER,3323,104,1825
Nigeria,NGA,87607,1289,73713
North Macedonia,MNP,83329,2503,61447
Norway,NOR,49567,436,17998
Oman,OMN,128867,1499,121890
Pakistan,PAK,482178,10176,437229
Palau,PLW,0,0,0
Panama,PAN,246790,4022,195138
Papua New Guinea,PNG,780,9,661
Paraguay,PRY,107932,2262,81977
Peru,PER,1015137,93070,951318
Philippines,PHL,474064,9244,439796
Poland,POL,1294878,28554,1036138
Portugal,PRT,413678,6906,334276
Qatar,QAT,143834,245,141422
Romania,ROU,632263,15767,560793
Russia,RUS,3127347,56271,2527722
Rwanda,RWA,8383,92,6542
Saint Kitts and Nevis,KNA,32,0,29
Saint Lucia,LCA,353,5,289
Saint Vincent and the Grenadines,VCT,121,0,98
Samoa,WSM,2,0,2
San Marino,SMR,2333,59,2042
Sao Tome and Principe,STP,1014,17,971
Saudi Arabia,SAU,362741,6223,353853
Senegal,SEN,19140,410,17254
Serbia,SRB,337923,3211,0
Seychelles,SYC,226,0,214
Sierra Leone,SLE,2611,76,1892
Singapore,SGP,58599,29,58449
Slovakia,SVK,274603,2138,125971
Slovenia,SVN,122152,2697,99382
Solomon Islands,SLB,17,0,5
Somalia,SOM,4714,130,3612
South Africa,ZAF,1057161,28469,879671
Spain,ESP,1928265,50837,150376
Sri Lanka,LKA,43299,204,35329
Sudan,SDN,25500,1468,13524
Suriname,SUR,6210,122,5731
Sweden,SWE,437379,8727,0
Switzerland,CHE,452296,7873,317600
Syria,SYR,11434,711,5350
Taiwan*,TWN,799,7,671
Tajikistan,TJK,13665,90,12851
Thailand,THA,6884,61,4273
Timor-Leste,TLS,44,0,32
Togo,TGO,3633,68,3393
Tonga,TON,0,0,0
Trinidad and Tobago,TTO,7150,127,6650
Tunisia,TUN,139140,4676,105364
Turkey,TUR,2208652,20881,2100650
Uganda,UGA,35216,251,11733
Ukraine,UKR,1086997,19281,736611
United Arab Emirates,ARE,207822,669,184442
United Kingdom,GBR,2496187,73621,5482
Uruguay,URY,19119,181,13468
US,USA,20191331,349854,0
Uzbekistan,UZB,77060,614,74943
Vanuatu,VUT,1,0,1
Venezuela,VEN,113558,1028,107583
Vietnam,VNM,1465,35,1325
Yemen,YEM,2099,610,1394
Zambia,ZMB,20725,388,18660
Zimbabwe,ZWE,13867,363,11250
