countryName,CODE,data,deaths
Afghanistan,AFG,2020/12/31,2189
Afghanistan,AFG,2021/12/31,7356
Afghanistan,AFG,2022/5/4,7683
Albania,ALB,2020/12/31,1181
Albania,ALB,2021/12/31,3217
Albania,ALB,2022/5/4,3496
Algeria,DZA,2020/12/31,2756
Algeria,DZA,2021/12/31,6276
Algeria,DZA,2022/5/4,6875
Andorra,AND,2020/12/31,84
Andorra,AND,2021/12/31,140
Andorra,AND,2022/5/4,153
Angola,AGO,2020/12/31,405
Angola,AGO,2021/12/31,1770
Angola,AGO,2022/5/4,1900
Antarctica,ATA,2020/12/31,0
Antarctica,ATA,2021/12/31,0
Antarctica,ATA,2022/5/4,0
Antigua and Barbuda,ATG,2020/12/31,5
Antigua and Barbuda,ATG,2021/12/31,119
Antigua and Barbuda,ATG,2022/5/4,137
Argentina,ARG,2020/12/31,43245
Argentina,ARG,2021/12/31,117169
Argentina,ARG,2022/5/4,128653
Armenia,ARM,2020/12/31,2823
Armenia,ARM,2021/12/31,7972
Armenia,ARM,2022/5/4,8622
Australia,AUS,2020/12/31,909
Australia,AUS,2021/12/31,2253
Australia,AUS,2022/5/4,7423
Austria,AUT,2020/12/31,6222
Austria,AUT,2021/12/31,13733
Austria,AUT,2022/5/4,18200
Azerbaijan,AZE,2020/12/31,2641
Azerbaijan,AZE,2021/12/31,8358
Azerbaijan,AZE,2022/5/4,9709
Bahamas,BHS,2020/12/31,170
Bahamas,BHS,2021/12/31,717
Bahamas,BHS,2022/5/4,798
Bahrain,BHR,2020/12/31,352
Bahrain,BHR,2021/12/31,1394
Bahrain,BHR,2022/5/4,1476
Bangladesh,BGD,2020/12/31,7559
Bangladesh,BGD,2021/12/31,28072
Bangladesh,BGD,2022/5/4,29127
Barbados,BRB,2020/12/31,7
Barbados,BRB,2021/12/31,260
Barbados,BRB,2022/5/4,399
Belarus,BLR,2020/12/31,1424
Belarus,BLR,2021/12/31,5578
Belarus,BLR,2022/5/4,6958
Belgium,BEL,2020/12/31,19528
Belgium,BEL,2021/12/31,28331
Belgium,BEL,2022/5/4,31494
Belize,BLZ,2020/12/31,248
Belize,BLZ,2021/12/31,602
